year,title,description,player
2016,"2016 UKA Aikido Summer School part 1",,https://player.vimeo.com/video/349052554
2015,"2015 UKA Summer School part 1",,https://player.vimeo.com/video/347684486
2014,"2014 UKA Aikido Summer School part 1",,https://player.vimeo.com/video/345413943
2013,"2013 UKA Aikido Summer School part 1",,https://player.vimeo.com/video/344022402
2012,"2012 UKA Aikido Summer School part 1",,https://player.vimeo.com/video/344021072
2011,"2011 UKA Aikido Summer School part 1",,https://player.vimeo.com/video/342690149
2010,"2010 UKA Aikido Summer School part 1",,https://player.vimeo.com/video/342686965
2009,"2009 UKA Aikido Summer School part 1",,https://player.vimeo.com/video/341308152
2008,"2008 UKA Aikido Summer School part 1",,https://player.vimeo.com/video/340171200
2007,"2007 UKA Aikido Summer School part 1",,https://player.vimeo.com/video/338833809
2006,"2006 UKA Aikido Summer School part 1",,https://player.vimeo.com/video/337259738
2005,"2005 UKA Aikido Summer School part 1",,https://player.vimeo.com/video/337240017
2004,"2004 UKA Aikido Summer School part 1",,https://player.vimeo.com/video/337236107
2003,"2003 UKA Aikido Summer School part 1",,https://player.vimeo.com/video/336607425
2002,"2002 UKA Aikido Summer School part 1",,https://player.vimeo.com/video/336602231
2001,"2001 UKA Aikido Summer School part 1",,https://player.vimeo.com/video/334618965
2000,"2000 UKA Aikido Summer School",,https://player.vimeo.com/video/326291013
1998,"1998 UKA Aikido Summer School part 1",,https://player.vimeo.com/video/334613353
1997,"1997 UKA Aikido Summer School",,https://player.vimeo.com/video/333522037
1994,"1994 UKA Aikido Summer School part 1",,https://player.vimeo.com/video/331943020
1993,"1993 UKA Aikido Summer School part 1",,https://player.vimeo.com/video/331937122
1992,"1992 UKA Aikido Summer School part 1",,https://player.vimeo.com/video/330495168
1991,"1991 UKA Summer School part 1",,https://player.vimeo.com/video/330490449
1990,"1990 UKA Aikido Summer School part 1",,https://player.vimeo.com/video/329379614
1989,"1989 UKA Aikido Summer School part 1",,https://player.vimeo.com/video/328648407
1988,"1988 UKA Aikido Summer School",,https://player.vimeo.com/video/326339210
1987,"1987 UKA Aikido Summer School part 1",,https://player.vimeo.com/video/328598583
1986,"1986 UKA Aikido Summer School",,https://player.vimeo.com/video/328594418
